country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ATG,32665,33529,34383,35259,36192,37209,38338,39551,40746,41787,42473,42541,42342,41973,41573,41229,40977,40791,40660,40555,40449,40357,40293,40248,40198,40148,40077,40003,39988,40091,40377,40894,41851,42946,44130,45349,46602,47883,49166,50412,51594,52705,53947,55142,56366,57663,59046,60497,61994,63482,64931,66312,67331,68317,69260,70174,71041,71843,72601,
AUS,1898168,1893125,1909068,1915045,1921617,1928216,1941057,1946009,1960830,1982191,2001245,2049221,2066154,2076844,2108402,2112847,2112387,2114608,2117518,2118609,2122700,2134561,2175007,2206835,2236626,2271988,2314338,2354687,2398326,2444309,2485873,2522945,2574389,2622313,2673251,2729233,2789315,2844952,2899644,2958134,3019470,3086667,3100598,3115023,3127194,3144470,3166779,3161213,3199492,3240089,3264665,3283984,3318631,3353116,3380029,3405449,3435109,3467878,3495933,
AUT,2486372,2493385,2505220,2517777,2531075,2544011,2558257,2573835,2583601,2588892,2594215,2602592,2617008,2630789,2634510,2626772,2621379,2621628,2618751,2613535,2612783,2621498,2643375,2659070,2679016,2700321,2722325,2744348,2768641,2801639,2843876,2893427,2946774,2992756,3026042,3052457,3078548,3103950,3129454,3157687,3187562,3222225,3260666,3299328,3342824,3388796,3428840,3463449,3497858,3530644,3562894,3598756,3612504,3617832,3629979,3654565,3677700,3686708,3689480,
AZE,1843964,1919884,1999615,2081445,2163098,2242847,2319968,2394615,2467071,2537840,2589597,2617851,2643249,2666368,2694803,2729428,2763448,2797066,2830491,2866096,2904561,2943614,2983147,3023504,3062456,3100031,3138706,3178243,3218023,3274303,3311109,3385305,3459796,3535841,3607435,3672969,3734314,3794654,3855372,3896779,3912746,3926875,3939942,3953356,3971421,3995444,4022610,4051232,4119674,4188204,4218775,4252916,4286937,4318074,4345898,4369801,4388966,4400516,4406442,
BDI,2739819,2792109,2844697,2899417,2958713,3023394,3094557,3171855,3249800,3320841,3380094,3425156,3458971,3488464,3523291,3570424,3632178,3706511,3791098,3881973,3976913,4074399,4175016,4279403,4388523,4502796,4622028,4744613,4867363,4986151,5097880,5205710,5308214,5402452,5485213,5555317,5610936,5655746,5701232,5763498,5852869,5973419,6122062,6293687,6479928,6674406,6876202,7086685,7303903,7526326,7752344,7980596,8210992,8444873,8685033,8932902,9188745,9451342,9719003,
BEL,690173,683837,675039,665612,657593,649491,639888,629663,618582,607025,594492,582711,572373,561805,551360,540999,530184,510589,491485,473116,455398,440204,430030,420141,410476,401233,392205,383459,375867,368490,361118,354059,347362,340654,333815,326709,319832,313175,306498,300145,294313,289464,285082,280571,276160,272130,268551,265111,261859,258792,255937,254101,250572,246734,242900,239464,235807,231939,228327,
BEN,2206089,2222831,2240843,2260144,2280795,2302811,2326102,2350477,2375559,2400941,2426241,2451296,2476003,2500624,2525227,2549963,2574679,2599354,2623501,2653248,2700929,2750110,2800774,2852850,2906198,2960894,3016338,3072822,3131512,3194225,3261662,3334455,3421578,3526419,3631558,3734793,3835056,3933248,4031040,4130741,4234026,4341576,4447564,4547228,4646980,4745992,4843943,4941150,5038213,5136051,5235022,5335151,5436217,5538340,5640687,5743271,5846019,5948785,6051242,
BFA,4602311,4659836,4717617,4776782,4839102,4905880,4977618,5053908,5134082,5216827,5301410,5387934,5476828,5568724,5664230,5763916,5855684,5941347,6030036,6123379,6222092,6326599,6435915,6548381,6661835,6774747,6913027,7076003,7243579,7416142,7593790,7776737,7964837,8158483,8357843,8563179,8774616,8972391,9157788,9345913,9536621,9730061,9925695,10124203,10325814,10531249,10739876,10974626,11232645,11495273,11761184,12029913,12301333,12574782,12849399,13124769,13400406,13676558,13952879,
BGD,45548011,46757472,47961803,49212398,50536560,51945143,53461269,55059473,56648680,58106649,59355310,60353979,61148406,61852492,62532060,63174580,63984860,64919769,65921447,66906791,67812230,68847430,70325051,71816137,73332663,74884082,76468815,78072453,79669386,81231057,82732560,84207912,85728263,87214524,88692990,90186117,91691651,93198937,94689050,96143148,97543366,98742528,99681811,100515446,101213795,101761476,102143889,102377366,102502136,102571999,102621003,102663041,102695879,102715913,102701829,102647873,102549930,102415912,102248095,
BGR,4948578,4862618,4768184,4666744,4561889,4450351,4357529,4279849,4204219,4129877,4049527,3981375,3909118,3838830,3773605,3700908,3632541,3572033,3496879,3423053,3358522,3325011,3290185,3253796,3216973,3172930,3135449,3108935,3081354,3015064,2931350,2873111,2813472,2767905,2739354,2708267,2675519,2640661,2604686,2571814,2541005,2469539,2388453,2342006,2297078,2252963,2209465,2167172,2126239,2087198,2048433,2010650,1974416,1938841,1903435,1866995,1829783,1792408,1755492,
BHR,28717,29655,30551,31403,32208,32800,33061,33293,33559,33944,34495,35204,36058,37117,38439,40048,41978,44160,46389,48396,50021,51191,51984,52562,53143,53876,54805,55865,56968,57976,58817,59494,60688,62227,63796,65456,67212,69119,71318,73992,77281,81131,85475,90463,96270,102947,110678,119255,127849,135348,141036,144495,146088,146823,148104,150917,155554,161569,168134,
BHS,44129,45526,46992,48483,49951,51341,52639,53829,54867,55698,56294,56637,56761,56746,56682,56637,56625,56635,56658,56679,56645,56323,55991,55630,55211,54718,54145,53503,52821,52149,51660,52027,52426,52810,53128,53344,53445,53460,53438,53449,53628,54323,55096,55944,56840,57766,58725,59711,60684,61583,62374,63012,63511,63902,64238,64566,64883,65186,65462,
BIH,2611501,2641209,2667927,2692741,2713479,2728915,2738325,2742340,2742366,2740406,2737628,2736230,2739133,2741096,2740990,2738245,2732431,2724086,2714103,2703890,2694209,2690474,2703829,2716866,2729509,2741173,2753862,2766103,2769576,2753604,2711574,2640030,2544990,2439367,2341996,2266147,2216117,2187768,2175065,2168562,2161278,2151983,2142324,2132023,2121199,2109903,2098019,2084546,2067852,2045837,2017333,1981501,1939511,1894621,1851086,1811629,1777181,1746950,1720299,
BLR,5541766,5498539,5456899,5414847,5370261,5327265,5281469,5234313,5183803,5128878,5061496,4981753,4897996,4809523,4714698,4625987,4533373,4443919,4357973,4274272,4194898,4118594,4041007,3963186,3884720,3807158,3730271,3653104,3561979,3500006,3466196,3427834,3395185,3363000,3319582,3269624,3219907,3167936,3114946,3059960,2996577,2933092,2867027,2800401,2735436,2671686,2611003,2555356,2503383,2455407,2403775,2350483,2300156,2253002,2208224,2165435,2122548,2076890,2030347,
BLZ,42324,43829,45371,46976,48659,50427,52301,54250,56233,58154,59914,61392,62754,64016,65221,66402,67557,68695,69906,71307,72980,74989,77277,79779,82402,85068,87789,90582,93370,96037,98530,100780,102877,105040,107622,110880,114921,119647,124808,130052,135039,139313,143353,147249,151165,155202,159369,163629,167949,172289,176620,180877,185069,189168,193168,197048,200796,204415,207916,
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOL,2312585,2347047,2382307,2418443,2455511,2493721,2532916,2573100,2614351,2656811,2700447,2745287,2791220,2838244,2886257,2935133,2985031,3009068,3022991,3034756,3043799,3050282,3054159,3056228,3057090,3057659,3057720,3057188,3055699,3053335,3049569,3044443,3040455,3065620,3090132,3113725,3136445,3158156,3178869,3198457,3216871,3234234,3253813,3273068,3291064,3307935,3323357,3337616,3350499,3362407,3373312,3383143,3391943,3405293,3421053,3435596,3448765,3460830,3471223,
BRA,38876453,39294352,39711701,40112612,40484457,40822181,41120611,41382995,41605172,41791624,41936390,42020987,42061771,42074670,42064668,42040546,42000523,41947038,41875319,41786718,41678055,41556701,41413018,41239805,41025668,40768902,40461768,40113248,39724495,39305246,38857060,38382112,37879933,37359882,36824174,36276255,35718095,35033638,34328880,33609034,32874567,32687356,32532199,32356592,32162493,31950579,31719371,31470391,31206854,30936531,30658541,30356009,30046546,29735220,29416963,29096333,28776240,28454530,28133826,
BRB,146032,146332,146740,147199,147630,147978,148230,148416,148608,148881,149191,149317,149570,149898,150231,150511,150733,150903,151008,151037,151179,152414,153582,154707,155835,156997,158213,159471,160765,162073,163424,164984,166557,168133,169733,171365,173021,174708,176407,178087,179670,180861,182016,183159,184338,185576,186892,188259,189647,190974,192216,193280,194184,194945,195595,196163,196648,197046,197361,
BRN,46243,46864,47362,47780,48147,48505,48843,49140,49378,49554,49642,49639,51503,53629,55762,57873,59965,62030,64061,66040,67957,69809,71610,73380,75166,76993,78867,80786,82748,84766,86832,88954,90171,91253,92261,93163,93952,94629,95201,95681,96071,96393,96939,97435,97787,97986,98012,97896,97693,97481,97313,97202,97130,97073,96984,96827,96596,96304,95963,
BTN,215259,220173,225174,230380,235984,242089,248742,255891,263440,271248,279212,287270,295429,303734,312228,320956,329911,339051,348183,357102,365650,373599,380962,388165,395800,404185,413700,423922,433471,440484,443816,442884,438506,432516,427385,424825,425288,428121,432443,436976,440795,443796,446182,447725,448225,447857,448932,448997,448396,447625,446996,446588,446410,446392,446404,446348,446239,446096,445885,
BWA,487361,496807,507363,518698,529695,538496,546586,554163,561655,569670,578540,588189,602417,618292,635307,653252,672153,691881,711851,731360,749908,767103,775220,779741,782460,783747,783404,780705,774439,763516,747181,725604,730279,737527,743803,749558,754923,759784,763881,766937,768768,769314,774419,779976,785871,792602,800456,789043,776907,763095,746913,728266,718575,710090,702443,696549,692629,690205,688726,
CAF,1199833,1209392,1219522,1230329,1241803,1254064,1267278,1281226,1293930,1304883,1313224,1318621,1321680,1323877,1326962,1332257,1346487,1368847,1394120,1422632,1454346,1489958,1528896,1568681,1606041,1638886,1665996,1688525,1709461,1736841,1773154,1816166,1864703,1917002,1970388,2022829,2073865,2123868,2173051,2221731,2270207,2318073,2364848,2410834,2456469,2501010,2545255,2588535,2627864,2659224,2680140,2689403,2689000,2683755,2680335,2683456,2694569,2712576,2736177,
CAN,5540868,5541960,5492247,5441341,5390322,5334312,5284252,5275481,5256115,5223145,5191541,5251122,5338874,5431539,5535266,5644413,5744499,5802629,5851095,5899610,5966378,6028261,6059713,6079070,6095759,6110627,6133043,6209133,6284808,6393132,6484711,6555149,6557450,6553895,6550090,6541741,6528757,6477628,6415815,6352957,6297326,6263120,6307139,6339248,6373758,6409413,6444858,6447564,6457255,6470872,6482352,6491507,6548144,6603314,6655859,6691082,6752474,6814760,6888871,
CEB,50720764,50536773,50348488,50171639,50000758,49742764,49510175,49426266,49295856,49091160,48793751,48396177,48024446,47658493,47314974,47012972,46707268,46339977,45887515,45447656,45079527,44851750,44665760,44465135,44247731,44023555,43796811,43556426,43287672,43009719,42755874,42416617,42179934,42184309,42207856,42177731,42110439,42058345,42019601,41982938,41778237,41454011,41119861,40941382,40780148,40611197,40443275,40210586,39979949,39838803,39652932,39519532,39410425,39310807,39210929,39092678,38947848,38785403,38614113,
CHE,1549119,1562740,1586363,1603842,1613632,1615391,1615259,1618201,1621354,1622399,1616732,1615981,1624969,1633603,1639000,1634860,1622138,1613257,1610009,1609847,1612903,1622449,1635792,1646672,1656461,1667607,1680210,1694724,1711247,1729128,1751004,1776902,1800314,1820462,1838809,1854939,1866968,1875299,1884719,1897587,1912232,1924949,1937671,1950193,1961798,1972472,1982943,1998781,2022351,2045843,2065228,2086420,2106933,2129601,2153942,2176779,2198922,2217678,2231590,
CHI,67074,67966,68912,69911,70942,72004,73079,74168,75268,76367,77459,78585,79862,81085,82215,83203,84031,84720,85361,86066,86916,87825,88529,89351,90261,91214,92222,93399,94557,95612,96512,97242,97876,98422,98995,99690,100457,101156,101916,102626,103220,103630,103884,104119,104475,105048,105874,106905,108050,109155,110130,110942,111723,112452,113237,114178,115294,116524,117791,
CHL,2615895,2602414,2590964,2577815,2562309,2544422,2523714,2500670,2475724,2449931,2423576,2397887,2371534,2344818,2317487,2289421,2260881,2232070,2202752,2172754,2141927,2110475,2087363,2100683,2114640,2129817,2146282,2163836,2182312,2201315,2220712,2240483,2254989,2245693,2235023,2222563,2208382,2192501,2175216,2156453,2136730,2115932,2100770,2113551,2125987,2138870,2151926,2165456,2178924,2192334,2205503,2217617,2229158,2241070,2254855,2271326,2290337,2310652,2329158,
CHN,558984648,550002064,551084460,561172774,570563019,585836641,603653090,620353282,637762514,656497738,675928190,695661123,713898765,730387430,744661478,756942270,768187399,778161684,785011465,788605339,791287529,793935216,797806157,802837860,806618745,810625110,815464944,821058949,826508924,831145763,835019382,836478966,836448460,835478607,833998460,831819843,828956742,825589438,821328874,815968942,809645853,800082679,788406300,775926016,762817902,749352182,735901746,722214159,708173810,693852712,679206337,665196496,651507733,637792141,624030741,610192900,596465626,582840458,568902350,
CIV,2884160,2944790,3008694,3073184,3134701,3191267,3278766,3366044,3456660,3555369,3665170,3786925,3918895,4059087,4204037,4345750,4458466,4568417,4674772,4871796,5074937,5284332,5499154,5717777,5937924,6158208,6377424,6595865,6811288,7019254,7233034,7452553,7676178,7901804,8126569,8348040,8566341,8781232,8988544,9180091,9353656,9510500,9652591,9785559,9916658,10052033,10192922,10338856,10490744,10649401,10814705,10987262,11167477,11354524,11547148,11742209,11939706,12139068,12339325,
CMR,4455411,4519324,4585788,4654686,4725760,4798969,4874175,4951485,5030896,5112564,5196250,5245765,5292740,5337314,5378936,5417512,5466408,5563175,5662507,5764629,5869367,5976562,6085574,6196273,6308444,6421952,6536262,6659591,6810166,6960369,7108459,7254223,7397578,7538485,7675955,7810065,7940451,8068035,8194071,8320389,8448584,8579470,8712386,8847672,8985203,9125435,9268014,9412716,9558949,9706164,9853501,10000780,10147706,10293982,10439098,10582585,10724114,10863842,11000836,
COD,11847891,12115620,12391980,12679560,12981466,13299425,13634816,13986317,14349203,14717459,15086720,15454513,15822224,16196037,16583480,16989647,17418722,17867486,18326222,18780873,19223024,19651013,20072031,20496219,20937045,21361194,21807026,22275032,22783645,23357737,24009322,24752630,25571491,26415728,27215036,27923430,28523784,29039013,29511727,30004334,30561318,31194279,31890437,32641873,33433394,34251599,35094791,35966551,36865328,37787008,38729919,39689944,40665644,41654276,42652338,43657626,44667920,45680986,46691418,
COG,696475,706002,715908,726194,736835,747851,759174,770799,782735,795055,807688,820646,833857,847250,860065,871836,883320,894582,905592,916413,927068,937631,947960,957938,967344,981530,1000372,1019131,1037966,1057035,1076463,1096263,1116445,1137096,1158337,1180134,1202578,1224357,1246599,1269123,1291777,1314333,1336834,1360180,1385476,1413317,1444089,1477073,1510485,1542085,1570340,1594801,1616049,1635209,1653914,1673265,1693490,1714181,1735045,
COL,8628136,8664634,8692945,8712030,8719182,8834571,8948306,9055427,9153304,9240440,9314830,9375896,9424700,9465379,9507860,9552562,9596426,9639782,9681265,9719757,9754661,9786596,9815122,9839491,9859109,9873713,9915878,9966622,10013912,10059228,10102575,10144718,10183917,10220685,10252814,10279222,10298708,10312932,10320766,10323160,10320833,10313981,10301817,10283436,10258118,10225218,10185475,10140106,10088364,10029830,9965274,9892910,9813908,9736063,9668612,9616282,9582253,9562114,9543470,
COM,167133,168225,169218,170168,171144,172208,173412,176301,179361,182434,185447,188302,191113,194184,197935,202644,208441,215163,222399,229599,236366,242495,248168,253591,259079,264836,270889,277168,283628,290221,296887,303636,312344,321725,331240,340853,350556,360337,370211,380115,390063,400039,410070,420221,430583,441136,451884,462820,473954,485273,496764,508447,520297,532230,544194,556091,567902,579621,591240,
CPV,168113,170528,173947,178273,183292,188775,194831,201346,207620,212725,216086,217319,216735,215095,213398,212363,212157,212630,213726,215336,217092,216522,216174,215766,214932,213499,209331,204386,199024,193726,188846,190274,192205,194367,196356,197901,198937,199554,199772,199694,199386,199158,198681,197983,197049,195913,194569,193050,191404,189724,188090,187959,187841,187725,187562,187333,187048,186721,186338,
CRI,874936,907037,940210,972116,997928,1022747,1046437,1069060,1090544,1110882,1130106,1148169,1165179,1182457,1204881,1228262,1252722,1278242,1304699,1331970,1359921,1388635,1418049,1448046,1477525,1493013,1507611,1521355,1534442,1547192,1559623,1571679,1583051,1593647,1603066,1611055,1617600,1622689,1625629,1625780,1622512,1597090,1568481,1537368,1504662,1471127,1436810,1401817,1366163,1330228,1293750,1257049,1221412,1186949,1153724,1121685,1090839,1061270,1032885,
CSS,2727263,2756404,2784595,2811074,2835021,2856306,2874022,2888569,2900715,2911575,2922397,2935153,2942537,2944557,2945702,2945848,2944737,2942665,2940067,2937765,2937652,2955561,2974156,2999156,3020997,3038180,3049873,3056978,3061820,3067638,3076906,3091339,3110242,3130943,3151354,3169871,3186157,3200801,3214179,3227104,3240585,3258163,3278472,3299961,3321582,3343760,3365790,3387830,3410083,3432919,3456334,3479153,3499695,3519546,3537928,3554435,3568805,3581082,3591223,
CUB,2970689,3019432,3072647,3128371,3183548,3236030,3284906,3330607,3374255,3417619,3461841,3460681,3447682,3431588,3409322,3379559,3342246,3298788,3249873,3197104,3141386,3083207,3040345,3001877,2966058,2935160,2909540,2888386,2868881,2847837,2822613,2809703,2810035,2807701,2804235,2800785,2797615,2789414,2775679,2761302,2745669,2729203,2711995,2700955,2695475,2687689,2677136,2664266,2650464,2637715,2627181,2619380,2613786,2614545,2616304,2616477,2615010,2610638,2603577,
CUW,31568,31403,31474,31570,31616,31610,31433,31261,31239,31235,31194,31248,30803,30135,29927,29586,29146,28671,27980,27417,26989,26637,26443,26175,25857,25542,25093,24463,23688,22915,22278,21737,20948,19879,18847,17881,17033,16162,15003,13667,12379,11600,11765,12167,12540,13031,13543,13992,14353,14633,15012,15422,15735,16084,16459,16822,17129,17294,17352,
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CYP,368806,367884,365829,363068,360593,359107,358806,359456,360737,362203,363501,364550,365451,363554,353238,342568,331637,320497,308892,296632,283662,270094,256179,251103,249419,248556,248592,249391,250806,252645,254700,256959,259414,263702,268587,273398,278089,282659,287104,291454,295740,299904,305848,312446,319188,326098,333255,340580,347841,354736,361031,366628,371603,375909,379897,383752,387554,391229,394717,
CZE,3884203,3828621,3796447,3767312,3742092,3714591,3683086,3647740,3609212,3569696,3509276,3410396,3307236,3209952,3116999,3025935,2934700,2842920,2750823,2658820,2558840,2525602,2532083,2537294,2541852,2546549,2550807,2555063,2560031,2564468,2560605,2560857,2576685,2592690,2606957,2618682,2629045,2639712,2650698,2661463,2667547,2668884,2670674,2676944,2684795,2695557,2709931,2733000,2762927,2786024,2801381,2814526,2817206,2808362,2801426,2797131,2792682,2788986,2784782,
DEU,20836712,20768071,20903401,21050022,21171231,21304018,21433533,21482504,21528785,21650322,21673217,21667597,21726668,21750209,21713675,21588023,21451007,21357951,21295639,21260524,21260046,21178760,21066192,21014164,21066224,21199425,21282187,21144436,21099829,21281747,21353187,21388515,21478393,21508871,21410142,21300002,21188909,21048482,20880191,20723743,20581651,20447486,20313617,20157322,19986263,19809155,19622894,19432962,19234290,19025087,18836498,18334806,18361215,18403327,18472108,18624547,18755733,18795376,18814687,
DJI,41546,42968,44635,46503,48464,50458,52513,54656,56831,58960,61026,62874,64578,66623,69558,73662,79115,85525,91882,96991,100164,101128,100394,100404,102661,106722,112981,120910,129351,136720,141949,144951,146623,147159,147787,149402,152243,156010,160324,164599,168403,171687,174605,177224,179660,182020,184283,186438,188587,190863,193254,195799,198473,201196,203878,206407,208790,211025,213101,
DMA,37299,37894,38442,38980,39562,40206,40949,41753,42542,43218,43580,43320,42849,42282,41743,41331,41061,40908,40771,40524,40098,39317,37859,36305,34717,33153,31608,30089,28627,27264,25999,24995,24994,25035,25047,25004,24886,24706,24500,24317,24193,24115,23962,23838,23719,23576,23406,23219,23017,22815,22614,22417,22223,22028,21837,21655,21478,21308,21142,
DNK,1205031,1179808,1157609,1135659,1113984,1092288,1073702,1055896,1036317,1016431,998714,980763,961831,943557,924147,903388,882632,870832,859096,846933,833875,823805,817570,811434,805438,800242,795833,791356,786304,781335,779212,779794,780980,782186,783426,786105,789145,791005,792450,793693,795603,795779,792950,789180,780089,766524,755890,748599,742353,737112,732572,726570,718964,713546,710514,708958,707867,705807,702998,
DOM,2299665,2346518,2391687,2435641,2477979,2518531,2556950,2593177,2626987,2658553,2687503,2713812,2737385,2758402,2776557,2792046,2804705,2814712,2821812,2825973,2827093,2825433,2848818,2893816,2938192,2982078,3025367,3068042,3110237,3152199,3193951,3235550,3276932,3317652,3323050,3315517,3305089,3292294,3276981,3259470,3240026,3218886,3195871,3132570,3051042,2968435,2884527,2799791,2714468,2629580,2544678,2470279,2403082,2336313,2269884,2203775,2138192,2073505,2011297,
DZA,7684109,7731723,7760418,7783587,7804639,7826355,7891247,8097235,8311694,8530684,8751316,8973172,9197427,9426366,9663092,9909819,10166564,10386573,10536605,10691725,10852168,11018346,11187124,11355130,11517502,11671559,11814562,11953235,12096827,12227217,12342362,12442282,12525737,12591017,12634410,12654288,12650696,12627679,12586453,12519461,12442038,12356671,12263898,12168749,12076158,11990255,11911270,11839539,11774718,11721662,11678282,11645141,11620781,11603754,11591085,11581514,11573776,11567453,11558343,
EAP,743471955,738916400,744507005,759189311,773278283,793351293,816054016,837634947,859849468,883328419,907464438,932058603,954971028,976028439,994820048,1013629466,1029470065,1043886455,1055103971,1063119907,1070144823,1077100762,1085439030,1094944228,1103080587,1111310447,1120211616,1129708361,1138875966,1146990379,1154085891,1159016577,1162064359,1163943630,1165110963,1165390181,1164785765,1163498565,1161123336,1157425792,1152284796,1144183170,1133764198,1122361375,1110165212,1097496797,1084724949,1071589703,1058003473,1044057230,1029764585,1016521028,1003677626,990766890,977689891,964368900,950970882,937504580,923554212,
EAR,755577539,770474155,785494063,800897635,816678739,832842391,849361283,866260841,883489853,901023057,918838842,936718385,954143561,971759061,989517696,1009389841,1027557339,1045900629,1064485525,1083612708,1103125439,1123178973,1144969445,1167132299,1189335358,1211400376,1233350739,1255387601,1277189214,1298555464,1320220132,1341565345,1362665237,1383451656,1403972223,1424450274,1445002449,1465523719,1485782910,1505647960,1524940961,1543825471,1561224193,1578198659,1594808462,1611068565,1627024041,1642685583,1657848945,1672539780,1686810304,1700901804,1714283042,1727106065,1739398662,1750978130,1762105361,1772708191,1782762620,
EAS,805980797,801969177,807504372,822123978,836115909,856080447,878652623,899712650,921260262,944664598,968401382,992590190,1015067661,1035478251,1053913239,1072130768,1087500097,1101644350,1112528702,1120191196,1126824236,1133327192,1141193633,1150179507,1157716161,1165297024,1173347899,1181822947,1190027255,1197227281,1203419861,1207827015,1210560391,1212132130,1213028359,1213047184,1212307261,1210959597,1208526619,1204728369,1199492094,1189702256,1177059343,1163546787,1149310918,1134720050,1120399865,1105876303,1091047984,1075918855,1060510961,1046921651,1033991760,1020995899,1007842018,994448049,980972257,967415956,953341523,
